route_id,route_no,route_type,start_stop,end_stop,term_min,first_bus,last_bus,corp
100100124,0017,branch,용산차고지,신용산역3번출구,13,0500,2315,보광교통
100100001,01A,circular,예장주차장,예장주차장,9,0630,2300,북부운수
106000004,01B,circular,예장주차장,예장주차장,14,0630,2300,북부운수
104000014,040,trunk,용산공영차고지,개포동,15,0430,2240,대원여객
104000012,0411,branch,용산차고지,AT센터.양재꽃시장,14,0420,2230,대원여객
100100549,100,trunk,하계동,용산구청,10,0400,2230,한성여객
100100006,101,trunk,우이동,서소문,8,0400,2300,동아운수
100100129,1014,branch,성북생태체험관,종로구민회관숭인동,8,0500,2340,대진여객
100100130,1017,branch,월계동,상왕십리,15,0430,2320,한성여객
100100007,102,trunk,상계주공7단지,동대문,11,0400,2310,삼화상운
100100131,1020,branch,정릉,교보문고,9,0430,2320,대진여객
100100008,103,trunk,삼화상운,서울역,9,0430,2300,삼화상운
100100009,104,trunk,강북청소년수련관,서울역버스환승센터,8,0400,2315,선일교통
100100010,105,trunk,상계주공7단지,숭례문,11,0400,2240,흥안운수
100100012,107,trunk,민락동차고지,종로5가,12,0410,2230,대원여객
100100014,109,trunk,우이동,광화문,12,0427,2320,영신여객
100100016,110A고려대,trunk,정릉,정릉,9,0400,2240,대진여객
100100015,110B국민대,trunk,정릉,정릉,9,0405,2245,대진여객
104000009,111,trunk,민락동차고지,동대문,22,0410,2220,대원여객
100100132,1111,branch,번동,성북동,10,0420,2320,도원교통
107000007,1112,branch,정릉4동,성북동,12,0400,2300,도원교통
100100133,1113,branch,정릉,월곡동,15,0510,2340,대진여객
100100134,1114,branch,정릉,길음역,15,0500,2350,대진여객
100100566,1115,branch,수유중학교혜화여고,미아삼거리역,13,0530,0000,동아운수
107000001,1116,branch,국민대학교,미아삼거리역,18,0500,2330,대진여객
100100137,1119,branch,강북청소년수련관,녹천역,8,0440,2335,선일교통
100100138,1120,branch,하계동,삼양동입구,15,0430,2300,한성여객
