station_cd,line,fr_code,name_ko,name_en,name_zh,name_ja,lat,lng,rt_name
4201,AREX,A01,서울역,Seoul Station,首爾站,ソウルヨク,37.553247,126.969769,서울
4202,AREX,A02,공덕,Gongdeok,孔德,コンドク,37.542530,126.952024,공덕
4203,AREX,A03,홍대입구,Hongik Univ.,弘益大学,ホンデイック,37.557438,126.926715,홍대입구
4204,AREX,A04,디지털미디어시티,Digital Media City,数码媒体城,デジタルメディアシティ,37.576958,126.898609,디지털미디어시티
4206,AREX,A042,마곡나루,Magongnaru,麻谷渡口,マゴンナル,37.565543,126.827378,마곡나루
4207,AREX,A05,김포공항,Gimpo Intl. Airport,金浦机场,キンポゴンハン,37.561842,126.801904,김포공항
4208,AREX,A06,계양,Gyeyang,桂阳,ケヤン,37.571662,126.736300,계양
4209,AREX,A07,검암,Geomam,黔岩,コマム,37.569098,126.674007,검암
4210,AREX,A071,청라국제도시,Cheongna Int'l City Station,靑羅國際城驛,チョンナグクチェドシ,37.556409,126.624648,청라국제도시
4217,AREX,A072,영종,Yeongjong,永宗,ヨンジョン,37.512020,126.524254,영종
4211,AREX,A08,운서,Unseo,云西,ウンソ,37.492904,126.493790,운서
4212,AREX,A09,공항화물청사,Incheon Intl. Airport Cargo Terminal,机场货物厅舍,コンハンファムルチョンサ,37.459041,126.477516,공항화물청사
4213,AREX,A10,인천공항1터미널,Incheon Int'l Airport Terminal 1,仁川国际机场 1号航站楼,仁川国際空港 1ターミナル,37.447464,126.452508,인천공항1터미널
4215,AREX,A11,인천공항2터미널,Incheon Int'l Airport Terminal 2,仁川国际机场 2号航站楼,仁川国際空港 ２ターミナル,37.460699,126.441442,인천공항2터미널
4501,EVERLINE,Y110,기흥,Giheung,器興,キフン,37.275449,127.116665,기흥
4502,EVERLINE,Y111,강남대,Kangnam Univ.,江南大学,カンナムデ,37.270161,127.126033,강남대
4503,EVERLINE,Y112,지석,Jiseok,支石,チソク,37.269606,127.136515,지석
4504,EVERLINE,Y113,어정,Eojeong,御井,オジョン,37.274917,127.143714,어정
4505,EVERLINE,Y114,동백,Dongbaek,東栢,トンベク,37.269043,127.152716,동백
4506,EVERLINE,Y115,초당,Chodang,草堂,チョダン,37.260752,127.159443,초당
4508,EVERLINE,Y116,삼가,Samga,三街,サムガ,37.242115,127.168075,삼가
4509,EVERLINE,Y117,시청.용인대,City Hall·Yongin Univ.,市廳龍仁大,シチョン·ヨンインデ,37.239151,127.178406,시청.용인대
4510,EVERLINE,Y118,명지대,Myongji Univ.,明知大,ミョンジデ,37.237964,127.190294,명지대
4511,EVERLINE,Y119,김량장,Gimnyangjang,金良場,キムニャンジャン,37.237247,127.198781,김량장
4512,EVERLINE,Y120,용인중앙시장,Yongin Jungang Market,龙仁中央市场,ヨンインチュンアンシジャン,37.237845,127.209198,운동장.송담대
4513,EVERLINE,Y121,고진,Gojin,古陣,コジン,37.244840,127.214251,고진
4514,EVERLINE,Y123,보평,Bopyeong,洑坪,ポピョン,37.258965,127.218457,보평
4515,EVERLINE,Y125,둔전,Dunjeon,屯田,トゥンジョン,37.267051,127.213640,둔전
4517,EVERLINE,Y126,전대.에버랜드,Jeondae · Everland,前垈･愛寶樂園,チョンデ・エバーランド,37.285342,127.219561,전대.에버랜드
4920,GIMPO,690,양촌,Yangchon,阳村,ヤンチョン,37.642379,126.614309,양촌
4921,GIMPO,691,구래,Gurae,九來,クレ,37.645384,126.628633,구래
4922,GIMPO,692,마산,Masan,麻山,マサン,37.640732,126.644344,마산
4923,GIMPO,693,장기,Janggi,场基,チャンギ,37.643986,126.669017,장기
4924,GIMPO,694,운양,Unyang,云阳,ウニャン,37.653867,126.683930,운양
4925,GIMPO,695,걸포북변,Geolpo Bukbyeon,杰浦北边,コルポブクビョン,37.631650,126.705975,걸포북변
4926,GIMPO,696,사우,Sau,沙隅,サウ,37.620249,126.719731,사우(김포시청)
4927,GIMPO,697,풍무,Pungmu,丰舞,プンム,37.612488,126.732387,풍무
4928,GIMPO,698,고촌,Gochon,高村,コチョン,37.601243,126.770345,고촌
4929,GIMPO,699,김포공항,Gimpo Int'l Airport,金浦机场,キンポ空港,37.562360,126.801868,김포공항
9000,GTXA,X101,운정중앙,Unjeongjungang,雲井中央,ウンジョンジュンアン,37.716140,126.728410,운정중앙
9001,GTXA,X102,킨텍스,Kintex,韩国国际会展中心,キンテックス,37.665320,126.748430,킨텍스
9002,GTXA,X103,대곡,Daegok,大谷,テゴク,37.631910,126.811130,대곡
9004,GTXA,X105,연신내,Yeonsinnae,延新川,ヨンシンネ,37.618780,126.921300,연신내
9005,GTXA,X106,서울역,Seoul,首尔,ソウル,37.555690,126.972960,서울역
0008,GTXA,X108,수서,Suseo,水西,スソ,37.486370,127.101610,수서
0009,GTXA,X109,성남,Seongnam,城南,ソンナム,37.394670,127.120580,성남
0010,GTXA,X110,구성,Guseong,駒城,クソン,37.299130,127.103890,구성
0011,GTXA,X111,동탄,Dongtan,東灘,トンタン,37.200340,127.095690,동탄
1305,GYEONGCHUN,P116,광운대,Kwangwoon Univ.,光云大学,クァンウンデ,37.623632,127.061835,광운대
1306,GYEONGCHUN,P117,청량리,Cheongnyangni,淸凉里,チョンニャンニ,37.579956,127.044585,청량리(서울시립대입구)
1307,GYEONGCHUN,P118,회기,Hoegi,回基,フェギ,37.589460,127.057583,회기
1308,GYEONGCHUN,P119,중랑,Jungnang,中浪,チュンナン,37.594917,127.076116,중랑
1309,GYEONGCHUN,P120,상봉,Sangbong,上鳳,サンボン,37.596678,127.085040,상봉(시외버스터미널)
1310,GYEONGCHUN,P121,망우,Mangu,忘憂,マンウ,37.599550,127.091909,망우
1311,GYEONGCHUN,P122,신내,Sinnae,新內,シンネ,37.612887,127.103218,신내
1312,GYEONGCHUN,P123,갈매,Galmae,葛梅,カルメ,37.634118,127.114757,갈매
1313,GYEONGCHUN,P124,별내,Byeollae,別內,ピョルネ,37.642020,127.126840,별내
1314,GYEONGCHUN,P125,퇴계원,Toegyewon,退溪院,トェゲウォン,37.648311,127.143952,퇴계원
1315,GYEONGCHUN,P126,사릉,Sareung,思陵,サルン,37.651080,127.176933,사릉
1316,GYEONGCHUN,P127,금곡,Geumgok,金谷,クムゴク,37.637382,127.207853,금곡
1317,GYEONGCHUN,P128,평내호평,Pyeongnae Hopyeong,坪內好坪,ピョンネホピョン,37.653225,127.244493,평내호평
1318,GYEONGCHUN,P129,천마산,Cheonmasan,天摩山,チョンマサン,37.658978,127.285379,천마산
1319,GYEONGCHUN,P130,마석,Maseok,磨石,マソク,37.652782,127.311767,마석
1320,GYEONGCHUN,P131,대성리,Daeseong-ri,大成里,テソンニ,37.684071,127.379319,대성리
1321,GYEONGCHUN,P132,청평,Cheongpyeong,淸平,チョンピョン,37.735488,127.426610,청평
1322,GYEONGCHUN,P133,상천,Sangcheon,上泉,サンチョン,37.770246,127.454821,상천
1323,GYEONGCHUN,P134,가평,Gapyeong,加平,カピョン,37.814536,127.510739,가평
